company,Year,Есть ли RAEX/RSPP/NKR рейтинг у компании?,Источник
becar,20,TRUE,Новости
becar,21,TRUE,Новости
becar,22,TRUE,Новости
becar,23,TRUE,Новости
becar,24,TRUE,Новости
belugagroup,20,TRUE,Новости
biocad,21,TRUE,Новости
coca-cola hbc россия,20,TRUE,Новости
core.xp,20,TRUE,Новости
core.xp,21,TRUE,Новости
cosmos hotel,20,TRUE,Новости
cosmos hotel,21,TRUE,Новости
cosmos hotel,22,TRUE,Новости
cosmos hotel,23,TRUE,Новости
cosmos hotel,24,TRUE,Новости
danaflex,20,TRUE,Новости
danaflex,21,FALSE,Новости
danaflex,22,TRUE,Новости
danaflex,23,TRUE,Новости
danaflex,24,TRUE,Новости
deloittecis,20,TRUE,Новости
el,24,TRUE,Новости
en+,21,FALSE,Новости
en+,22,FALSE,Новости
en+group,20,TRUE,Новости
etalon,21,TRUE,Новости
etalongroup,20,TRUE,Новости
evraz plc,20,TRUE,Новости
evraz plc,21,TRUE,Новости
fly drone,20,TRUE,Новости
fly drone,21,TRUE,Новости
fly drone,22,TRUE,Новости
fly drone,23,TRUE,Новости
fly drone,24,TRUE,Новости
global ports,17,TRUE,Новости
grow food,20,TRUE,Новости
grow food,21,TRUE,Новости
grow food,22,TRUE,Новости
grow food,23,TRUE,Новости
grow food,24,TRUE,Новости
gv gold,20,TRUE,Новости
gv gold,21,TRUE,Новости
just ai- маинд крафт,20,TRUE,Новости
just ai- маинд крафт,21,TRUE,Новости
just ai- маинд крафт,22,TRUE,Новости
just ai- маинд крафт,23,TRUE,Новости
just ai- маинд крафт,24,TRUE,Новости
ld pride,22,TRUE,Новости
managment company,20,TRUE,Новости
managment company,21,TRUE,Новости
managment company,22,TRUE,Новости
managment company,23,TRUE,Новости
managment company,24,TRUE,Новости
melon fashion,20,TRUE,Новости
melon fashion,21,TRUE,Новости
melon fashion,22,TRUE,Новости
melon fashion,23,FALSE,Новости
melon fashion,24,TRUE,Новости
metro,20,TRUE,Новости
metro,21,TRUE,Новости
metro,22,TRUE,Новости
metro,23,FALSE,Новости
metro,24,TRUE,Новости
nordest,20,TRUE,Новости
nordest,21,TRUE,Новости
nordest,22,TRUE,Новости
nordest,23,TRUE,Новости
nordest,24,TRUE,Новости
o1 properties,23,FALSE,Новости
pwc в россии,20,TRUE,Новости
qiwi,21,FALSE,Новости
qiwi,22,TRUE,Новости
radius,24,TRUE,Новости
rbi,20,TRUE,Новости
rbi,21,TRUE,Новости
rbi,22,TRUE,Новости
rbi,23,TRUE,Новости
rbi,24,TRUE,Новости
ros agro plc,21,TRUE,Новости
rostics,20,TRUE,Новости
rostics,21,TRUE,Новости
rostics,22,TRUE,Новости
rostics,23,TRUE,Новости
rostics,24,TRUE,Новости
s7 airlines,20,TRUE,Новости
s7 airlines,21,TRUE,Новости
simbirsoft,20,TRUE,Новости
simbirsoft,21,TRUE,Новости
simbirsoft,22,TRUE,Новости
simbirsoft,23,FALSE,Новости
simbirsoft,24,TRUE,Новости
welcome 24,20,TRUE,Новости
welcome 24,21,TRUE,Новости
welcome 24,22,TRUE,Новости
welcome 24,23,FALSE,Новости
welcome 24,24,TRUE,Новости
whoosh,20,TRUE,Новости
whoosh,21,TRUE,Новости
whoosh,22,TRUE,Новости
whoosh,23,TRUE,Новости
whoosh,24,TRUE,Новости
woodcraft,20,TRUE,Новости
woodcraft,21,TRUE,Новости
woodcraft,24,TRUE,Новости
x5 retail,20,TRUE,Новости
x5 retail,21,TRUE,Новости
а101,20,TRUE,Новости
а101,21,TRUE,Новости
а101,22,TRUE,Новости
а101,23,TRUE,Новости
а101,24,TRUE,Новости
а_компаний_детский_мир,20,TRUE,Новости
а_компаний_детский_мир,21,TRUE,Новости
автомобильный завод агр,20,TRUE,Новости
автомобильный завод агр,21,TRUE,Новости
автомобильный завод агр,22,TRUE,Новости
автомобильный завод агр,23,TRUE,Новости
автомобильный завод агр,24,TRUE,Новости
автопарк № 1 спецтранс,20,TRUE,Новости
автопарк № 1 спецтранс,21,TRUE,Новости
автопарк № 1 спецтранс,22,TRUE,Новости
автопарк № 1 спецтранс,23,TRUE,Новости
автопарк № 1 спецтранс,24,TRUE,Новости
автопарк № 6 спецтранс,20,TRUE,Новости
автопарк № 6 спецтранс,21,TRUE,Новости
автопарк № 6 спецтранс,22,TRUE,Новости
автопарк № 6 спецтранс,23,TRUE,Новости
автопарк № 6 спецтранс,24,TRUE,Новости
автотор,20,TRUE,Новости
автотор,21,TRUE,Новости
автотор,22,TRUE,Новости
автотор,23,TRUE,Новости
автотор,24,TRUE,Новости
агентство развития и исследований в недвижимости,20,TRUE,Новости
агентство развития и исследований в недвижимости,21,TRUE,Новости
агентство развития и исследований в недвижимости,22,TRUE,Новости
агентство развития и исследований в недвижимости,23,TRUE,Новости
агентство развития и исследований в недвижимости,24,TRUE,Новости
агентство_социальной_информации,20,TRUE,Новости
агентство_социальной_информации,21,TRUE,Новости
агк-1,22,TRUE,Новости
агк-1,24,TRUE,Новости
адмиралтейские верфи,20,TRUE,Новости
адмиралтейские верфи,21,TRUE,Новости
адмиралтейские верфи,22,TRUE,Новости
адмиралтейские верфи,23,TRUE,Новости
адмиралтейские верфи,24,TRUE,Новости
азия цемент,20,TRUE,Новости
азия цемент,24,TRUE,Новости
акб ак барс,20,TRUE,Новости
акб ак барс,21,TRUE,Новости
акб алмазэргиэнбанк,20,TRUE,Новости
аквилон,20,TRUE,Новости
аквилон,21,TRUE,Новости
аквилон,22,TRUE,Новости
аквилон,23,TRUE,Новости
аквилон,24,TRUE,Новости
акрос,20,TRUE,Новости
акрос,22,TRUE,Новости
акрос,23,FALSE,Новости
акрос,24,TRUE,Новости
активный компонент,20,TRUE,Новости
активный компонент,21,TRUE,Новости
активный компонент,22,TRUE,Новости
активный компонент,23,TRUE,Новости
активный компонент,24,TRUE,Новости
алмаз-антей,20,TRUE,Новости
алмаз-антей,21,TRUE,Новости
алмаз-антей,22,TRUE,Новости
алмаз-антей,23,TRUE,Новости
алмаз-антей,24,TRUE,Новости
алроса,16,TRUE,Новости
алроса,17,TRUE,Новости
альфа,16,TRUE,Новости
альфа,17,TRUE,Новости
альфа,18,TRUE,Новости
альфа,19,TRUE,Новости
альфа,20,TRUE,Новости
альфа,21,TRUE,Новости
альфа,22,FALSE,Новости
альфа,23,FALSE,Новости
альфа,24,FALSE,Новости
арвиай,20,TRUE,Новости
арвиай,22,TRUE,Новости
арвиай,23,TRUE,Новости
арвиай,24,TRUE,Новости
армалит,20,TRUE,Новости
армалит,21,TRUE,Новости
армалит,22,TRUE,Новости
армалит,23,TRUE,Новости
армалит,24,TRUE,Новости
атом минералс,20,TRUE,Новости
атом минералс,21,TRUE,Новости
атом минералс,22,TRUE,Новости
атом минералс,24,TRUE,Новости
атомэнергомаш,16,TRUE,Новости
атомэнергомаш,17,TRUE,Новости
атомэнергопром,21,TRUE,Новости
аттика,20,TRUE,Новости
аттика,21,TRUE,Новости
аттика,22,TRUE,Новости
аттика,23,TRUE,Новости
аттика,24,TRUE,Новости
ау ра рпни ижемди,20,TRUE,Новости
ау ра рпни ижемди,21,TRUE,Новости
ау ра рпни ижемди,22,TRUE,Новости
ау ра рпни ижемди,23,TRUE,Новости
ау ра рпни ижемди,24,TRUE,Новости
афк система,16,TRUE,Новости
афк система1143,21,TRUE,Новости
ашинский металлургический завод,20,TRUE,Новости
ашинский металлургический завод,21,TRUE,Новости
ашинский металлургический завод,22,TRUE,Новости
аэм-технологии,20,TRUE,Новости
аэм-технологии,21,TRUE,Новости
аэм-технологии,22,TRUE,Новости
аэм-технологии,23,TRUE,Новости
аэм-технологии,24,TRUE,Новости
аэродин,20,TRUE,Новости
аэродин,21,TRUE,Новости
аэродин,22,TRUE,Новости
аэродин,23,TRUE,Новости
аэродин,24,TRUE,Новости
аэрофлот,16,TRUE,Новости
аэрофлот,17,TRUE,Новости
балтийская жемчужина,20,TRUE,Новости
балтийская жемчужина,21,TRUE,Новости
балтийская жемчужина,22,TRUE,Новости
балтийская жемчужина,23,TRUE,Новости
балтийская жемчужина,24,TRUE,Новости
балтийский берег,20,TRUE,Новости
балтийский берег,21,TRUE,Новости
балтийский берег,22,TRUE,Новости
балтийский берег,23,TRUE,Новости
балтийский берег,24,TRUE,Новости
балтийский завод,20,TRUE,Новости
балтийский завод,21,TRUE,Новости
балтийский завод,22,TRUE,Новости
балтийский завод,23,TRUE,Новости
балтийский завод,24,TRUE,Новости
барс,20,TRUE,Новости
барс,21,FALSE,Новости
барс,22,TRUE,Новости
башнефть,20,TRUE,Новости
бентус лаборатории,22,TRUE,Новости
бентус лаборатории,23,TRUE,Новости
благотворительный_фонд_елены_и_геннадия_тимченко,20,TRUE,Новости
бронка,20,TRUE,Новости
бронка,21,TRUE,Новости
бронка,22,TRUE,Новости
бронка,23,TRUE,Новости
